"Sex","Year","WinningTime"
"Men",1900,11
"Men",1904,11
"Men",1908,10.8
"Men",1912,10.8
"Men",1916,NA
"Men",1920,10.8
"Men",1924,10.6
"Men",1928,10.8
"Men",1932,10.3
"Men",1936,10.3
"Men",1940,NA
"Men",1944,NA
"Men",1948,10.3
"Men",1952,10.4
"Men",1956,10.5
"Men",1960,10.2
"Men",1964,10
"Men",1968,9.95
"Men",1972,10.14
"Men",1976,10.06
"Men",1980,10.25
"Men",1984,9.99
"Men",1988,9.92
"Men",1992,9.96
"Men",1996,9.84
"Men",2000,9.87
"Men",2004,9.85
"Women",1900,NA
"Women",1904,NA
"Women",1908,NA
"Women",1912,NA
"Women",1916,NA
"Women",1920,NA
"Women",1924,NA
"Women",1928,12.2
"Women",1932,11.9
"Women",1936,11.5
"Women",1940,NA
"Women",1944,NA
"Women",1948,11.9
"Women",1952,11.5
"Women",1956,11.5
"Women",1960,11
"Women",1964,11.4
"Women",1968,11.08
"Women",1972,11.07
"Women",1976,11.08
"Women",1980,11.06
"Women",1984,10.97
"Women",1988,10.54
"Women",1992,10.82
"Women",1996,10.94
"Women",2000,10.75
"Women",2004,10.93
