"","X","species","body","brain"
"1",1,"Arctic fox",3.385,44.5
"2",2,"Owl monkey",0.48,15.5
"3",3,"Mountain beaver",1.35,8.1
"4",4,"Cow",465,423
"5",5,"Grey wolf",36.33,119.5
"6",6,"Goat",27.66,115
"7",7,"Roe deer",14.83,98.2
"8",8,"Guinea pig",1.04,5.5
"9",9,"Verbet",4.19,58
"10",10,"Chinchilla",0.425,6.4
"11",11,"Ground squirrel",0.101,4
"12",12,"Arctic ground squirrel",0.92,5.7
"13",13,"African giant pouched rat",1,6.6
"14",14,"Lesser short-tailed shrew",0.005,0.14
"15",15,"Star-nosed mole",0.06,1
"16",16,"Nine-banded armadillo",3.5,10.8
"17",17,"Tree hyrax",2,12.3
"18",18,"N.A. opossum",1.7,6.3
"19",19,"Asian elephant",2547,4603
"20",20,"Big brown bat",0.023,0.3
"21",21,"Donkey",187.1,419
"22",22,"Horse",521,655
"23",23,"European hedgehog",0.785,3.5
"24",24,"Patas monkey",10,115
"25",25,"Cat",3.3,25.6
"26",26,"Galago",0.2,5
"27",27,"Genet",1.41,17.5
"28",28,"Giraffe",529,680
"29",29,"Gorilla",207,406
"30",30,"Grey seal",85,325
"31",31,"Rock hyrax-a",0.75,12.3
"32",32,"Human",62,1320
"33",33,"African elephant",6654,5712
"34",34,"Water opossum",3.5,3.9
"35",35,"Rhesus monkey",6.8,179
"36",36,"Kangaroo",35,56
"37",37,"Yellow-bellied marmot",4.05,17
"38",38,"Golden hamster",0.12,1
"39",39,"Mouse",0.023,0.4
"40",40,"Little brown bat",0.01,0.25
"41",41,"Slow loris",1.4,12.5
"42",42,"Okapi",250,490
"43",43,"Rabbit",2.5,12.1
"44",44,"Sheep",55.5,175
"45",45,"Jaguar",100,157
"46",46,"Chimpanzee",52.16,440
"47",47,"Baboon",10.55,179.5
"48",48,"Desert hedgehog",0.55,2.4
"49",49,"Giant armadillo",60,81
"50",50,"Rock hyrax-b",3.6,21
"51",51,"Raccoon",4.288,39.2
"52",52,"Rat",0.28,1.9
"53",53,"E. American mole",0.075,1.2
"54",54,"Mole rat",0.122,3
"55",55,"Musk shrew",0.048,0.33
"56",56,"Pig",192,180
"57",57,"Echidna",3,25
"58",58,"Brazilian tapir",160,169
"59",59,"Tenrec",0.9,2.6
"60",60,"Phalanger",1.62,11.4
"61",61,"Tree shrew",0.104,2.5
"62",62,"Red fox",4.235,50.4
